frame,track_id,x1,y1,x2,y2,confidence,class,total_cars_in_frame
3,8,559,116,577,129,0.8293626308441162,car,13
3,9,577,305,607,337,0.8293626308441162,car,13
3,11,614,235,635,255,0.8293626308441162,car,13
3,14,496,96,515,113,0.8293626308441162,car,13
3,16,543,99,563,116,0.8293626308441162,car,13
3,18,492,179,513,199,0.8293626308441162,car,13
3,19,408,39,418,48,0.8293626308441162,car,13
3,22,407,389,462,441,0.8293626308441162,car,13
3,24,636,301,665,348,0.8293626308441162,car,13
3,25,348,222,369,245,0.8293626308441162,car,13
3,29,523,84,538,105,0.8293626308441162,car,13
3,32,259,347,327,380,0.8293626308441162,car,13
3,36,567,229,594,258,0.8293626308441162,car,13
4,8,559,116,576,129,0.8293626308441162,car,13
4,9,576,304,604,334,0.8293626308441162,car,13
4,11,614,235,635,255,0.8293626308441162,car,13
4,14,496,96,516,114,0.8293626308441162,car,13
4,16,543,99,562,114,0.8293626308441162,car,13
4,18,493,179,513,199,0.8293626308441162,car,13
4,19,407,39,417,48,0.8293626308441162,car,13
4,22,406,389,461,441,0.8293626308441162,car,13
4,24,638,301,665,345,0.8293626308441162,car,13
4,25,348,222,369,245,0.8293626308441162,car,13
4,29,524,83,539,103,0.8293626308441162,car,13
4,32,257,347,327,381,0.8293626308441162,car,13
4,36,568,228,594,255,0.8293626308441162,car,13
5,8,560,116,576,128,0.8110430836677551,car,28
5,9,576,304,600,330,0.8110430836677551,car,28
5,11,613,235,635,255,0.8110430836677551,car,28
5,14,496,96,514,113,0.8110430836677551,car,28
5,16,544,99,563,114,0.8110430836677551,car,28
5,18,492,179,514,202,0.8110430836677551,car,28
5,19,408,41,418,50,0.8110430836677551,car,28
5,22,413,389,448,422,0.8110430836677551,car,28
5,24,640,301,665,341,0.8110430836677551,car,28
5,25,348,222,369,245,0.8110430836677551,car,28
5,29,525,81,539,100,0.8110430836677551,car,28
5,32,255,346,328,381,0.8110430836677551,car,28
5,36,569,227,594,252,0.8110430836677551,car,28
5,38,387,291,449,318,0.8110430836677551,car,28
5,40,612,359,665,413,0.8110430836677551,car,28
5,41,515,101,544,120,0.8110430836677551,car,28
5,42,437,273,473,296,0.8110430836677551,car,28
5,44,249,302,309,339,0.8110430836677551,car,28
5,45,614,300,659,345,0.8110430836677551,car,28
5,46,656,366,718,423,0.8110430836677551,car,28
5,47,482,107,496,118,0.8110430836677551,car,28
